negara,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
Jamaica*,377.41693921863487,3.1377130176325876,71.24635582512549,1.4304089937987177,290.8007,2.8054501216382386,325.9474,3.128766104699531,370.8636,3.6427735376777886,423.49440000000004,4.8986760897149,475.4053,4.982834136033649,184.60460000000003,4.859478727303075
Jordan,361.22802836657854,2.0330984152244858,61.72352743213554,1.0390125056408994,283.62520000000006,2.002408096517793,317.8441,2.09581220691804,358.36100000000005,2.2414865488046543,401.82509999999996,2.65357758360713,441.9789999999999,3.117850473661481,158.3538,3.211379161668707
Kazakhstan,425.4391288356629,1.688222591269737,78.43243921334539,0.9782242035200671,328.5561,1.8680853258676995,370.83690000000007,1.802063478580409,420.862,1.9158758281136088,476.5464,2.1300360361127417,529.2225,2.566850762797128,200.66640000000004,2.715088150988629
Kosovo,354.9624438264088,1.0184295099924334,62.42659286203837,0.7218853813247212,279.60780000000005,1.6850963411297604,311.4535,1.4095879940311191,349.40380000000005,1.276109660691868,393.9857,1.8213857586479525,438.4859000000001,2.5979581199045128,158.87810000000005,2.835851002687627
Macao (China),551.923153064622,1.0980572156826083,92.4860318574977,0.9729973009010535,429.2138,2.7081836719674484,488.96630000000005,2.119088655793124,553.969,1.767606897443221,616.4053,1.848446488420891,670.1524,2.5671220753176796,240.9386,3.659308766408852
Malaysia,408.6874321942563,2.3964913880092706,75.72817639985776,2.3624603477482813,316.5883,2.2746022680411095,354.9708,2.0590952492673957,402.77090000000004,2.362054191241406,455.55940000000004,3.041973084588539,509.31930000000006,5.128575622038951,192.731,5.417679034817913
Malta,466.01611291105684,1.5789621478861158,98.52281337874791,1.3601637626715408,332.7838,3.4329578141119357,394.52020000000005,2.9136278176870807,469.45630000000006,2.247408661597217,537.0037000000001,2.453796970117054,591.6611000000001,3.732498119296971,258.87730000000005,5.259906926840781
Moldova,414.1980631976307,2.3073942073759923,79.5433381374045,1.2910770695829386,316.5002,2.4528929114415012,358.5634,1.9466737427454157,408.38100000000003,2.4288405661332413,465.34830000000005,3.4032991260523784,521.3124000000001,4.313675756693919,204.81220000000005,4.077308875825928
Mongolia,424.59312854284474,2.5736123751348936,83.3443825473621,1.635707385083098,322.8197,2.9342095640147385,365.58400000000006,2.1860261052370276,417.76340000000005,2.5177955705338775,478.8149000000001,3.3170502723721924,537.0986,4.542944506166796,214.27890000000002,4.58539220817344
Montenegro,405.6011733379937,1.115954898063525,81.63751208713586,0.9251928099425769,305.52750000000003,1.7485079077125534,346.1327,1.709487337909297,399.4759,1.799464255649746,460.0142,2.105425914057131,516.5379,2.4034061455972133,211.0104,3.1374247292653124
Morocco,364.7662406960326,3.3503107306516235,62.695850721814764,2.1121743485425077,289.12940000000003,2.593526661174357,320.5436,2.5614507449935022,359.26150000000007,3.29310867631601,403.9148,4.24467604777509,449.39469999999994,6.324536171376963,160.26530000000002,5.938275263936302
North Macedonia,388.5755067832621,0.8690069678410918,82.70814959970193,0.9343527879591963,286.9332,1.9270860733674173,328.7991,1.4200940929799937,381.9558,1.7117584998084963,444.0909,1.7602703222011684,500.2128,2.1826265896213783,213.2796,2.958847173496989
Palestinian Authority,365.7466764424854,1.8394200588051235,65.9380055354849,1.1276034694137793,285.3619,2.1726294465015297,319.44599999999997,1.8917074896109103,361.4262,1.9929802944055655,407.9494000000001,2.5496165619123516,452.26670000000007,3.0714140684255202,166.90480000000002,3.1121521098527802
Panama*,356.57350391859563,2.8401298892531703,65.36637354223147,2.0513001753144864,278.0181,2.5209818520711766,311.1143,2.416134324385175,351.23870000000005,2.750751752324564,396.01869999999997,3.848058787954723,442.88050000000004,6.74696986872214,164.8624,6.575899732789
Paraguay,337.53975043615014,2.157968686585342,77.44833384364206,1.1427430663749147,240.5368,2.876117398749382,283.1365,2.6200407350522883,334.6637,2.845522975097118,388.94620000000003,2.7653842784502856,439.3072,3.3638391407735253,198.7704,3.9485188384380288
Peru,391.23578464022944,2.3410276464749047,77.90543281400312,1.168176117277496,295.0808,2.604001370620692,335.4666,2.3313832050713765,385.8397,2.621594306163931,442.10499999999996,2.873059690662744,496.55870000000004,3.5534943592735457,201.47790000000003,3.639905546031073
Philippines,354.7197127888579,2.579957143777436,64.6678775618726,1.7618247464009658,278.59310000000005,2.1550097774977917,307.8206,2.0980046068956892,346.9868000000001,2.6989863051297225,395.31680000000006,3.478148676499229,442.96400000000006,4.821147526955248,164.3709,4.7640513074483115
Qatar,414.1062217855216,1.1391289781009637,88.75563904459416,1.0081372483311326,307.1802,2.0441400690279425,349.86800000000005,1.5629391463326046,405.41380000000004,1.708596271634828,469.11570000000006,2.0398131484416724,535.8368,2.6702317234287958,228.65660000000003,3.4698120135998898
Romania,427.7599966689727,3.9984151337824545,98.52556840280164,1.9929340030747806,302.668,3.8223922395427485,355.99330000000003,4.090087729838783,423.90720000000005,4.9350082099447645,495.4194,5.567239472038884,559.4979999999999,6.082851102256436,256.83000000000004,6.251576328470631
Saudi Arabia,388.781606995968,1.758176585075775,65.57792804611913,1.0208507440597858,308.3319000000001,2.1261491948799964,342.9596000000001,2.041997630589551,384.9929000000001,1.9260297052990807,430.725,2.300847910493477,474.34740000000005,2.7938544268328123,166.01550000000003,2.9678465924153015
Serbia,439.8766666814576,2.974118655485218,89.5732605062357,2.6870191717162157,329.0075,3.5895197673419905,377.16859999999997,2.6625287437415595,435.50950000000006,2.8803651878807988,498.76270000000005,3.56703047552629,558.1827000000001,5.846110381983334,229.17519999999996,6.364165547127913
Singapore,574.6638195932204,1.2328192157934168,102.79613678155017,0.9149739453765403,433.44790000000006,2.7744837643945446,505.1897,2.2879348679844167,581.9246000000002,1.7280206131824127,649.0141000000001,1.9518855042767211,701.9315000000001,2.252013869881558,268.4836,3.5844606291331464
Chinese Taipei,547.0941643886057,3.7776260984003716,111.85357421363369,2.263829613942823,392.82890000000003,5.080989235867364,469.89349999999996,4.631493234743222,554.2705,4.477794043527462,627.7054,4.538797392910242,686.7426,5.450992361857411,293.9137,6.788835682053059
Thailand,393.9453559167338,2.6760245184756823,75.68396810900549,2.006541980603148,306.3477,2.27957510359204,341.55320000000006,2.178129600393677,385.20970000000005,2.4299660452588907,436.731,3.8765589212957674,495.42370000000005,6.485767771907279,189.076,6.204057438001986
Ukrainian regions (18 of 27),440.84530888926423,4.057485047781839,87.85783874343798,2.0652030304448936,329.0336,5.3964720136297295,377.5709,5.1676175526595935,437.8879,4.838693566463874,500.728,4.726871100612495,556.7078000000001,5.316231191413281,227.67420000000004,6.361462204993093
United Arab Emirates,431.11047658355506,0.9493053441606941,101.35493201093658,0.6071118851971061,306.2385,1.4607373688768768,355.789,1.3649546548227234,422.8455,1.3290181092006725,499.5308,1.6222491902105816,570.1572,1.423926284277238,263.9187000000001,1.715358955308077
Uruguay,408.7120663921702,2.023864988806461,83.23173866421847,1.2591280864902616,303.2705,2.621285539392413,348.7934,2.6674585037905314,405.4797000000001,2.6796300584222528,465.7928,2.682850075246473,520.0075999999999,3.159566830191192,216.73709999999997,3.8349372613476014
Uzbekistan,363.9353746814326,2.0189544316801817,66.96438480301866,0.9708424273944506,282.61830000000003,2.23480021664876,317.753,1.8854854618388202,359.64570000000003,2.1375901459223696,405.68420000000015,2.755110117631921,453.04210000000006,3.580123279845101,170.4238,3.3439948020460686
Viet Nam,469.40242748130413,3.925960140967284,85.79213913910048,2.2638521457010548,360.1565,5.48127211558949,411.8289,4.252480441917268,468.75100000000003,4.0401056049866355,527.1247,4.628049767810769,580.4913,4.842080267245101,220.3348,6.179031711686532
